ACTIVIDAD;TIPO DE OPERACION;TIPO DE SUJETO COMPRADOR;CODIGO DE ALÍCUOTA;MONTO NETO GRAVADO;DEBITO FISCAL FACTURADO;DEBITO FISCAL O.D.P.;Monto Neto Exento o No Gravado
602200;1;2;5;1079973,74;226794,34;226794,34;
614010;1;1;5;177157281,22;37203027,21;37203027,21;
614010;1;2;5;5955983,77;1250756,6;1250756,6;
731001;1;2;5;367768,6;77231,4;77231,4;
731001;1;1;5;4814021,1;1010944,44;1010944,44;
614010;1;3;5;1160469259,16;243698538,6;243698538,6;
614010;1;3;6;2028,74;547,76;547,76;
602200;1;3;5;825321077,64;173317302,14;173317302,14;
614010;1;2;6;139958,58;37788,85;37788,85;
631190;1;1;5;3545250;744502,5;744502,5;
602200;1;1;5;24667075,12;5180085,13;5180085,13;
731001;1;3;5;9625206,62;2021293,38;2021293,38;
614010;1;1;6;1591553,09;429719,88;429719,88;
