ACTIVIDAD;TIPO DE OPERACION;TIPO DE SUJETO COMPRADOR;CODIGO DE ALÍCUOTA;IMPORTE NETO GRAVADO;DEBITO FISCAL FACTURADO;DEBITO FISCAL O.D.P.;Monto Neto Exento o No Gravado
614010;1;1;5;424931713,29;89235656,65;89235656,65;
614010;1;2;5;2624678,46;551182,42;551182,42;
602200;1;2;5;393644,25;82665,14;82665,14;
614090;1;2;6;57325,8;15478,04;15478,04;
614090;1;3;5;88221781,32;18526619,98;18526619,98;
614010;3;3;3;;;;36764564,1
614090;1;3;6;9080,46;2451,74;2451,74;
614010;1;3;5;1182197309,21;248261395,89;248261395,89;
602200;3;3;3;;;;5185674,86
614090;1;1;5;153503521,37;32235739,49;32235739,49;
614090;1;1;6;5708024,66;1541171,69;1541171,69;
614090;3;3;3;;;;716822,03
602200;1;3;5;838104767,15;176001946,25;176001946,25;
602200;1;1;5;315328218,88;66218921,85;66218921,85;
